partei_id;Name;Vorname;vote
CDU/CSU;Abercron;Michael;1
CDU/CSU;Albani;Stephan;1
CDU/CSU;Altenkamp;Norbert Maria;1
CDU/CSU;Altmaier;Peter;4
CDU/CSU;Amthor;Philipp;1
CDU/CSU;Auernhammer;Artur;1
CDU/CSU;Aumer;Peter;1
CDU/CSU;Bär;Dorothee;4
CDU/CSU;Bareiß;Thomas;1
CDU/CSU;Barthle;Norbert;1
CDU/CSU;Beermann;Maik;1
CDU/CSU;Behrens;Manfred;1
CDU/CSU;Bellmann;Veronika;1
CDU/CSU;Benning;Sybille;1
CDU/CSU;Berghegger;André;1
CDU/CSU;Bernstein;Melanie;1
CDU/CSU;Bernstiel;Christoph;1
CDU/CSU;Beyer;Peter;1
CDU/CSU;Biadacz;Marc;1
CDU/CSU;Bilger;Steffen;1
CDU/CSU;Bleser;Peter;1
CDU/CSU;Brackmann;Norbert;1
CDU/CSU;Brand;Michael;1
CDU/CSU;Brandl;Reinhard;1
CDU/CSU;Braun;Helge;4
CDU/CSU;Breher;Silvia;1
CDU/CSU;Brehm;Sebastian;1
CDU/CSU;Brehmer;Heike;1
CDU/CSU;Brinkhaus;Ralph;1
CDU/CSU;Brodesser;Carsten;1
CDU/CSU;Connemann;Gitta;1
CDU/CSU;Damerow;Astrid;4
CDU/CSU;Dobrindt;Alexander;1
CDU/CSU;Donth;Michael;1
CDU/CSU;Dött;Marie-Luise;1
CDU/CSU;Durz;Hansjörg;1
CDU/CSU;Erndl;Thomas;1
CDU/CSU;Färber;Hermann;1
CDU/CSU;Feiler;Uwe;1
CDU/CSU;Ferlemann;Enak;1
CDU/CSU;Fischer;Axel E.;1
CDU/CSU;Flachsbarth;Maria;1
CDU/CSU;Frei;Thorsten;1
CDU/CSU;Freudenstein;Astrid;1
CDU/CSU;Friedrich;Hans-Peter;1
CDU/CSU;Frieser;Michael;4
CDU/CSU;Fuchtel;Hans-Joachim;1
CDU/CSU;Gädechens;Ingo;1
CDU/CSU;Gebhart;Thomas;1
CDU/CSU;Gerig;Alois;1
CDU/CSU;Gienger;Eberhard;1
CDU/CSU;Gnodtke;Eckhard;1
CDU/CSU;Groden-Kranich;Ursula;1
CDU/CSU;Gröhe;Hermann;1
CDU/CSU;Gröhler;Klaus-Dieter;1
CDU/CSU;Grosse-Brömer;Michael;1
CDU/CSU;Grotelüschen;Astrid;1
CDU/CSU;Grübel;Markus;1
CDU/CSU;Grund;Manfred;4
CDU/CSU;Grundmann;Oliver;1
CDU/CSU;Grütters;Monika;1
CDU/CSU;Güntzler;Fritz;1
CDU/CSU;Gutting;Olav;4
CDU/CSU;Haase;Christian;1
CDU/CSU;Hahn;Florian;1
CDU/CSU;Hardt;Jürgen;1
CDU/CSU;Hauer;Matthias;1
CDU/CSU;Hauptmann;Mark;1
CDU/CSU;Heider;Matthias;1
CDU/CSU;Heil;Mechthild;4
CDU/CSU;Heilmann;Thomas;1
CDU/CSU;Heinrich;Frank;1
CDU/CSU;Helfrich;Mark;1
CDU/CSU;Henke;Rudolf;1
CDU/CSU;Hennrich;Michael;1
CDU/CSU;Henrichmann;Marc;1
CDU/CSU;Heveling;Ansgar;1
CDU/CSU;Hirte;Christian;1
CDU/CSU;Hirte;Heribert;1
CDU/CSU;Hoffmann;Alexander;1
CDU/CSU;Holmeier;Karl;1
CDU/CSU;Hoppenstedt;Hendrik;4
CDU/CSU;Irlstorfer;Erich;1
CDU/CSU;Irmer;Hans-Jürgen;4
CDU/CSU;Jarzombek;Thomas;1
CDU/CSU;Jung;Andreas;1
CDU/CSU;Jung;Ingmar;1
