Nachname;Vorname;Geburtsdatum;Geburtsort;Sterbedatum;Geschlecht;Partei;Familienstand;Religion;Beruf;md_start;md_end
Bleser;Peter;23.07.1952;Brachtendorf;None;männlich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Landwirtschaftsmeister;24.10.2017;None
Brecht;Eberhard;20.02.1950;Quedlinburg / Bezirk Halle;None;männlich;SPD;verheiratet, 2 Kinder;evangelisch;Dipl.-Physiker;25.10.2019;None
Dehm;Diether;03.04.1950;Frankfurt/Main;None;männlich;DIE LINKE.;verheiratet;{'-self-closing': 'true'};Autor, Geschäftsführer;24.10.2017;None
Fuchtel;Hans-Joachim;13.02.1952;Sulz am Neckar;None;männlich;CDU;verheiratet, 4 Kinder;evangelisch;Parl. Staatssekretär;24.10.2017;None
Gysi;Gregor;16.01.1948;Berlin;None;männlich;DIE LINKE.;geschieden, 3 Kinder;konfessionslos;Rechtsanwalt;24.10.2017;None
Jelpke;Ulla;09.06.1951;Hamburg;None;weiblich;DIE LINKE.;keine Angaben;ohne Angaben;Dipl.-Sozialökonomin;24.10.2017;None
Kauder;Volker;03.09.1949;Hoffenheim;None;männlich;CDU;verheiratet;evangelisch;Jurist, Vors. der CDU/CSU-Fraktion;24.10.2017;None
Kubicki;Wolfgang;03.03.1952;Braunschweig;None;männlich;FDP;verheiratet, 2 Kinder;evangelisch;Rechtsanwalt, Diplom-Volkswirt, Vizepräsident DBT;24.10.2017;None
Landgraf;Katharina;24.02.1954;Kirchengel / Krs Sondershausen, Bezirk Erfurt;None;weiblich;CDU;verheiratet, 4 Kinder;evangelisch-lutherisch;Dipl.-Meliorationsingenieurin;24.10.2017;None
Matschie;Christoph;15.07.1961;Mühlhausen / Thüringen;None;männlich;SPD;geschieden, 3 Kinder;evangelisch-lutherisch;Mechaniker, Theologe, Landesminister a. D.;24.10.2017;None
Merkel;Angela;17.07.1954;Hamburg;None;weiblich;CDU;verheiratet;evangelisch;Bundeskanzlerin, Dipl.-Physikerin;24.10.2017;None
Ramsauer;Peter;10.02.1954;München;None;männlich;CSU;verheiratet, 4 Kinder;katholisch;Bundesminister a. D., Dipl.-Kaufmann, Müllermeister;24.10.2017;None
Schäuble;Wolfgang;18.09.1942;Freiburg;None;männlich;CDU;verheiratet, 4 Kinder;evangelisch;Bundestagspräsident, Bundesminister a. D., Jurist;24.10.2017;None
