Nr;Gebiet;gehört zu;Wahlberechtigte;Wähler;Ungültige_Erststimmen;Ungültige_Zweitstimmen;Gültige_Erststimmen;Gültige_Zweitstimmen;CDU/CSU_Erststimmen;CDU/CSU_Zweitstimmen;SPD_Erststimmen;SPD_Zweitstimmen;DIE LINKE_Erststimmen;DIE LINKE_Zweitstimmen;GRÜNE_Erststimmen;GRÜNE_Zweitstimmen;FDP_Erststimmen;FDP_Zweitstimmen;AfD_Erststimmen;AfD_Zweitstimmen
1;Flensburg – Schleswig;1;228471;171914;1596;1449;170318;170465;68120;58320;47711;40388;12144;14002;17911;22304;11147;18955;10583;11653
2;Nordfriesland – Dithmarschen Nord;1;186568;139194;1297;1123;137897;138071;62256;52928;34685;31120;7102;8589;13026;15144;11105;18050;8117;9030
3;Steinburg – Dithmarschen Süd;1;176636;132017;1134;1139;130883;130878;54812;47366;34219;29756;7176;8732;8791;12960;14440;17298;10006;11180
4;Rendsburg-Eckernförde;1;200831;157354;1252;1087;156102;156267;66625;56585;45070;35766;8074;9962;13978;19337;10077;19071;10656;11578
5;Kiel;1;204650;153273;1594;1204;151679;152069;46560;40736;46991;36208;11114;15546;21743;26143;11363;17804;9283;10504
6;Plön – Neumünster;1;174937;131713;1224;1199;130489;130514;53109;43778;37728;31013;7009;8503;11736;16350;9379;16481;10223;11161
7;Pinneberg;1;238533;187715;1620;1343;186095;186372;73816;63863;56460;42729;11270;13111;15379;21336;14441;24735;14729;15977
8;Segeberg – Stormarn-Mitte;1;247296;193280;1508;1335;191772;191945;78824;66367;52434;43027;10838;13237;16004;21010;15617;26043;15682;17166
9;Ostholstein – Stormarn-Nord;1;181522;138439;1150;1144;137289;137295;56996;48898;42232;33764;6062;8303;9539;13493;10047;18147;10790;11782
10;Herzogtum Lauenburg – Stormarn-Süd;1;244930;193334;1569;1363;191765;191971;75737;66031;52171;42815;9785;12480;18688;20826;15775;26163;17435;18792
11;Lübeck;1;181638;130961;2228;1167;128733;129794;45432;38263;43578;32919;;12213;16785;16568;8312;14097;11137;11539
1;Schleswig-Holstein;99;2266012;1729194;16172;13553;1713022;1715641;682287;583135;493279;399505;90574;124678;163580;205471;131703;216844;128641;140362

12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;13;216800;157071;1969;1660;155102;155411;49733;51083;34267;28947;26655;25929;5837;6606;7470;9879;24764;25692
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;13;205876;146768;1930;1657;144838;145111;43453;48841;34705;25029;23433;24409;5858;5521;8290;9008;25262;25688
